SKIP,L2_REG,POSITIVE_WT,NEGATIVE_WT,LEARNING_RATE
1,0.0006,0.48,-0.48,0.00016
1,0.0006,0.48,-0.48,0.00014
1,0.0006,0.6,-0.6,0.00014
1,0.00072,0.48,-0.48,0.00015
1,0.00072,0.6,-0.6,0.00015
1,0.00072,0.6,-0.6,0.00016
1,0.00084,0.6,-0.6,0.0002
1,0.00084,0.48,-0.48,0.0002
1,0.00048,0.6,-0.6,0.00014
1,0.00048,0.48,-0.48,0.00014
1,0.00048,0.72,-0.72,0.00014
1,0.00048,0.24,-0.24,0.00014
1,0.00084,0.48,-0.48,0.00022
1,0.00084,0.48,-0.48,0.00021
1,0.00084,0.48,-0.48,0.00018
1,0.00084,0.48,-0.48,0.00019
1,0.00084,0.36,-0.36,0.00022
1,0.00084,0.36,-0.36,0.00021
1,0.00084,0.48,-0.48,0.00023
1,0.00084,0.42,-0.42,0.00022
1,0.00084,0.42,-0.42,0.00023
1,0.00084,0.6,-0.6,0.00022
1,0.00084,0.6,-0.6,0.00021
1,0.00084,0.6,-0.6,0.00023
1,0.001,0.6,-0.6,0.00022
1,0.001,0.6,-0.6,0.00021
1,0.001,0.6,-0.6,0.00023
1,0.0072,0.48,-0.48,0.00022
1,0.00084,0.6,-0.6,0.00025
1,0.00072,0.48,-0.48,0.00023
1,0.00072,0.32,-0.32,0.00021
0,0.00084,0.48,-0.48,0.00024
